Station,Name,Good,Uncertain,Weak
0005,Viikinmäki,,,1
JVP1011,Savila,,,1
JVP1012,Kulosaari,,,1
JVP1013,Katajanokka,,,1
JVP1014,Siltavuori,,,1
JVP1015,Näkinkuja,1,,
JVP1016,Eteläsatama,,,1
JVP1017,Hanasaari,,,1
JVP1018,Porthaninrinne,,,1
JVP1019,Purjehtijankuja,,,1
JVP1020,Suutarila,1,,
JVP1021,Siltamäki,1,,
JVP1022,Paloheinä,,,1
JVP1023,Pukinmäki,1,,
JVP1024,Ala-Tikkurila,1,,
JVP1025,Jakomäki,,,1
JVP1026,Puistola,,,1
JVP1027,Tapanila,,,1
JVP1028,Malmi,,,
JVP1031,Keravanjoki,,,1
JVP1033,Vuosaari P5,1,,
JVP1036,Mellunmäki,1,,
JVP1037,Neulastie,1,,
JVP1038,Rastila,,,1
JVP1039,Lassila,,,1
JVP1040,Hässelby,1,,
JVP1041,Seurasaarentie,1,,
JVP1042,Sompasaari,1,,
JVP1043,Marjaniemi,,,1
JVP1045,Tammisalo,,,1
JVP1046,Päätie,,,1
JVP1047,Yläfallintie,,,1
JVP1050,Kuusisaarentie,,,1
JVP1051,Kuusiniementie,,,1
JVP1052,Munkkiniemenaukio,,,1
JVP1053,Munkkiniemenranta,,,1
JVP1054,Maununneva,1,,1
JVP1056,Kaitalahdentie,,,1
JVP1057,Meilahti,1,,
JVP1058,Rälssitie,,,1
JVP1059,Luoteisväylä,,,1
JVP1060,Sotkakuja,,,1
JVP1061,Heporauta,,,1
JVP1062,Nahkahousu,,,1
JVP1063,Lauttasaarentie,,,1
JVP1064,Fallpakka,,,1
JVP1065,Laajasalo,1,,
JVP1066,Yliskylä,,,1
JVP1067,Savela,1,,
JVP1068,Kivikko,,,1
JVP1069,Mäntymäki,,1,
JVP1072,Korkeasaari 1,1,,
JVP1073,Korkeasaari 2,,,1
JVP1074,Mustikkamaa,,,1
JVP1075,Kalasatama,,,1
JVP1076,Yhdysranta,1,,
JVP1077,Vuoranta,1,,
JVP1078,Kallalahti,1,,
JVP1079,Lähdelahti,1,,
JVP1080,Ramsinkannas,1,,
JVP1081,Kaskisaari,1,,
JVP1082,Koivusaari,,,1
JVP1083,Hevosalmi,,,1
JVP1088,Suomenlinna,,,1
JVP1090,Susisaari,,,1
JVP1091,Kustaanmiekka,,,1
JVP1092,Kurkimäki,,,1
JVP1093,Hietasaarenkatu,1,,
JVP1096,Porttirinne,1,,
JVP1100,Heikinlaakso,,,1
JVP1102,Liusketie,,,1
JVP1105,Säynäskuja,1,,
JVP1108,Länsi-Jollas,,,1
JVP1114,Iso-Musta,,,1
JVP1115,Keski-Jollas,1,,
JVP1116,Turunlinnantie,1,,
JVP1117,Varvilahti,,,1
JVP1119,Hopeakivi,,,1
JVP1120,Pikku-Musta,,,1
JVP1122,Hepokalliontie,1,,
JVP1123,Kissalaakso,,,1
JVP1125,Rattitie,,,1
JVP1126,Autotallintie,,,1
JVP1127,Santakatu,,,1
JVP1131,Kytkintie 1,,,1
JVP1132,Tilkantori,,,1
JVP1134,Ramsinniementie,1,,
JVP1135,Kivikon asuinalue,,,1
JVP1136,Selkämerenpiha,1,,
JVP1137,Vattuniemenkuja,1,,
JVP1138,Hiekkajaalan puisto,,,1
JVP1140,Virepolku,,,1
JVP1141,Tilkankuja,,,1
JVP1142,Viikintie,,,1
JVP1145,Jäähdytintie,,,1
JVP1146,Jarrutie 1,,,1
JVP1148,Laivanrakentaja,1,,
JVP1149,Killingholma,,,1
JVP1150,Jarrutie 2,,,1
JVP1151,Jaalarannanpuisto,,,1
JVP1153,Kytkintie 2,,,1
JVP1154,Puuskarinne,,,1
JVP1156,Tulvaniitynpolku,,,1
JVP1157,Tilanhoitajan kaari,,,1
JVP1158,Norkkokuja,,,1
JVP1159,Metsäpirtti,1,,
JVP1160,Suolakivenkatu,,,1
JVP1161,Kellosaarenranta,,,1
JVP1162,Fallkulla,1,,
JVP1163,Vuotie,,,1
JVP1164,Latokartano,1,,
JVP1165,Kultahiekka,1,,
JVP1166,Kulos.kartano,1,,
JVP1167,Meri Perttilä,,,1
JVP1168,Matosaarenniemi,,,1
JVP1169,Viikinojanpuisto,,1,
JVP1170,Salmisaarenranta,,,1
JVP1171,Majakanvartijankatu,,1,
JVP1172,Kuuluttajankatu,,1,
JVP1173,Santahamina,,,1
JVP1174,Kadettikoulu,,,1
JVP1175,Jätkäsaarenlaituri,1,,
JVP1176,Leonkatu,,1,
JVP1177,Pikitehtaankatu,,1,
JVP1178,Palstakuja,,,1
JVP1179,Heinäsarankaari,1,,
JVP1180,Poikasaartenpolku,1,,
JVP1181,Perintökaarenpolku,1,,
JVP1182,Mellinintie,1,,
JVP1184,Koirasaarentie 2,1,,
JVP1185,Sotkatie,1,,
JVP1186,Gyldenintie,,,1
JVP1187,Seurasaari,1,,
JVP1202,Kivikontie,1,,
JVP1205,Ilmalanrinne,1,,
JVP1206,Merenkulkijankuja,1,,
JVP2001,Hannuksenpelto,1,,
JVP2002,Nuottaniementie,1,,
JVP2003,Matinkylä,,1,
JVP2004,Iirislahdentie,1,,
JVP2005,Nokkalanniemi,1,,
JVP2006,Haukitie,1,,
JVP2007,Westendintie,,1,
JVP2008,Liinasaarentie,,1,
JVP2009,Kanervatie,,1,
JVP2010,Friisilä,,1,
JVP2011,Niittykumpu,,1,
JVP2012,Hakalehto,,,1
JVP2013,Karhulahti,,1,
JVP2014,Itäranta,,1,
JVP2015,Otaniementie,,,1
JVP2016,Tietotie,,1,
JVP2017,Kalevalantie,,,1
JVP2018,Uudenkirkontie,,1,
JVP2019,Koivistontie,1,,
JVP2020,Kirvuntie,1,,
JVP2021,Uuraantie,,1,
JVP2022,Impilahdentie,,,1
JVP2023,Ohrakaskenmäki,1,,
JVP2024,Kokinkylä,,1,
JVP2025,Koivumankkaa,,,1
JVP2026,Laurintie,1,,
JVP2027,Seilimäki,,1,
JVP2028,Porttikuja,1,,
JVP2029,Leppäsilta,,1,
JVP2030,Perkkaa,,1,
JVP2031,Vermontie,1,,
JVP2032,uusimäki,1,,
JVP2033,Myllypuro,,1,
JVP2034,Martinsillantie,,1,
JVP2035,Koukkutie,1,,
JVP2036,Viherlaakso,,1,
JVP2037,Tammihaantie,1,,
JVP2038,Järvenperä,,1,
JVP2039,Hiirihaukankuja,,1,
JVP2040,Mikkelä,1,,
JVP2041,Leppäv.urh.puisto,1,,
JVP2042,Pitkäjärv.ranta etel.,1,,
JVP2043,Lehtitie,1,,
JVP2044,Laaksolahdentie,,1,
